city,date,trend
Amsterdam,2021-04-30,44.75
Amsterdam,2021-05-31,47.2
Amsterdam,2021-06-30,52.25
Amsterdam,2021-07-31,56.75
Amsterdam,2021-08-31,57.6
Amsterdam,2021-09-30,58.5
Amsterdam,2021-10-31,65.6
Amsterdam,2021-11-30,53.5
Amsterdam,2021-12-31,43.5
Amsterdam,2022-01-31,48.0
Amsterdam,2022-02-28,59.75
Amsterdam,2022-03-31,62.75
Amsterdam,2022-04-30,68.75
Amsterdam,2022-05-31,67.4
Amsterdam,2022-06-30,65.5
Amsterdam,2022-07-31,70.0
Amsterdam,2022-08-31,67.5
Amsterdam,2022-09-30,67.5
Amsterdam,2022-10-31,76.2
Amsterdam,2022-11-30,64.25
Amsterdam,2022-12-31,67.5
Amsterdam,2023-01-31,74.4
Amsterdam,2023-02-28,70.5
Amsterdam,2023-03-31,66.25
Amsterdam,2023-04-30,69.0
Amsterdam,2023-05-31,62.75
Amsterdam,2023-06-30,65.75
Amsterdam,2023-07-31,71.6
Amsterdam,2023-08-31,65.75
Amsterdam,2023-09-30,64.75
Amsterdam,2023-10-31,67.6
Amsterdam,2023-11-30,61.75
Amsterdam,2023-12-31,63.2
Amsterdam,2024-01-31,63.5
Amsterdam,2024-02-29,67.5
Amsterdam,2024-03-31,67.8
Amsterdam,2024-04-30,69.0
Amsterdam,2024-05-31,65.5
Amsterdam,2024-06-30,67.0
Amsterdam,2024-07-31,66.5
Amsterdam,2024-08-31,67.0
Amsterdam,2024-09-30,66.8
Amsterdam,2024-10-31,67.5
Amsterdam,2024-11-30,69.0
Amsterdam,2024-12-31,63.8
Amsterdam,2025-01-31,65.25
Amsterdam,2025-02-28,62.75
Amsterdam,2025-03-31,65.8
Amsterdam,2025-04-30,68.25
Amsterdam,2025-05-31,62.75
Amsterdam,2025-06-30,64.8
Amsterdam,2025-07-31,69.75
Amsterdam,2025-08-31,89.4
Amsterdam,2025-09-30,81.5
Amsterdam,2025-10-31,80.25
Amsterdam,2025-11-30,74.6
Amsterdam,2025-12-31,69.25
Athens,2021-04-30,39.25
Athens,2021-05-31,42.2
Athens,2021-06-30,46.0
Athens,2021-07-31,49.75
Athens,2021-08-31,50.0
Athens,2021-09-30,48.75
Athens,2021-10-31,47.8
Athens,2021-11-30,42.0
Athens,2021-12-31,42.5
Athens,2022-01-31,46.0
Athens,2022-02-28,47.5
Athens,2022-03-31,49.75
Athens,2022-04-30,54.0
Athens,2022-05-31,56.4
Athens,2022-06-30,56.5
Athens,2022-07-31,56.4
Athens,2022-08-31,55.75
Athens,2022-09-30,55.0
Athens,2022-10-31,52.0
Athens,2022-11-30,46.5
Athens,2022-12-31,46.75
Athens,2023-01-31,53.2
Athens,2023-02-28,52.5
Athens,2023-03-31,53.25
Athens,2023-04-30,55.4
Athens,2023-05-31,56.0
Athens,2023-06-30,57.75
Athens,2023-07-31,60.6
Athens,2023-08-31,60.75
Athens,2023-09-30,63.75
Athens,2023-10-31,55.2
Athens,2023-11-30,51.5
Athens,2023-12-31,49.8
Athens,2024-01-31,55.0
Athens,2024-02-29,59.75
Athens,2024-03-31,59.8
Athens,2024-04-30,63.5
Athens,2024-05-31,62.5
Athens,2024-06-30,63.8
Athens,2024-07-31,62.75
Athens,2024-08-31,66.0
Athens,2024-09-30,64.0
Athens,2024-10-31,57.25
Athens,2024-11-30,53.5
Athens,2024-12-31,53.2
Athens,2025-01-31,56.5
Athens,2025-02-28,56.0
Athens,2025-03-31,59.4
Athens,2025-04-30,61.5
Athens,2025-05-31,64.25
Athens,2025-06-30,64.6
Athens,2025-07-31,70.5
Athens,2025-08-31,94.4
Athens,2025-09-30,90.0
Athens,2025-10-31,79.25
Athens,2025-11-30,79.2
Athens,2025-12-31,66.5
Barcelona,2021-04-30,30.5
Barcelona,2021-05-31,22.0
Barcelona,2021-06-30,12.75
Barcelona,2021-07-31,17.0
Barcelona,2021-08-31,23.6
Barcelona,2021-09-30,27.75
Barcelona,2021-10-31,24.8
Barcelona,2021-11-30,20.0
Barcelona,2021-12-31,21.5
Barcelona,2022-01-31,20.8
Barcelona,2022-02-28,26.25
Barcelona,2022-03-31,31.5
Barcelona,2022-04-30,34.0
Barcelona,2022-05-31,22.4
Barcelona,2022-06-30,16.0
Barcelona,2022-07-31,28.0
Barcelona,2022-08-31,34.5
Barcelona,2022-09-30,31.75
Barcelona,2022-10-31,37.0
Barcelona,2022-11-30,16.5
Barcelona,2022-12-31,14.75
Barcelona,2023-01-31,31.2
Barcelona,2023-02-28,38.5
Barcelona,2023-03-31,26.75
Barcelona,2023-04-30,30.8
Barcelona,2023-05-31,24.25
Barcelona,2023-06-30,18.75
Barcelona,2023-07-31,24.0
Barcelona,2023-08-31,25.0
Barcelona,2023-09-30,27.75
Barcelona,2023-10-31,27.0
Barcelona,2023-11-30,21.75
Barcelona,2023-12-31,23.8
Barcelona,2024-01-31,33.75
Barcelona,2024-02-29,22.75
Barcelona,2024-03-31,24.2
Barcelona,2024-04-30,42.75
Barcelona,2024-05-31,22.0
Barcelona,2024-06-30,15.2
Barcelona,2024-07-31,22.0
Barcelona,2024-08-31,35.25
Barcelona,2024-09-30,32.6
Barcelona,2024-10-31,40.5
Barcelona,2024-11-30,34.25
Barcelona,2024-12-31,29.6
Barcelona,2025-01-31,51.25
Barcelona,2025-02-28,40.75
Barcelona,2025-03-31,51.2
Barcelona,2025-04-30,76.75
Barcelona,2025-05-31,65.75
Barcelona,2025-06-30,17.0
Barcelona,2025-07-31,23.25
Barcelona,2025-08-31,34.0
Barcelona,2025-09-30,46.25
Barcelona,2025-10-31,45.75
Barcelona,2025-11-30,47.6
Barcelona,2025-12-31,34.5
Berlin,2021-04-30,67.0
Berlin,2021-05-31,70.2
Berlin,2021-06-30,68.5
Berlin,2021-07-31,69.0
Berlin,2021-08-31,78.0
Berlin,2021-09-30,77.5
Berlin,2021-10-31,75.2
Berlin,2021-11-30,70.25
Berlin,2021-12-31,61.5
Berlin,2022-01-31,63.4
Berlin,2022-02-28,64.75
Berlin,2022-03-31,66.5
Berlin,2022-04-30,71.5
Berlin,2022-05-31,71.8
Berlin,2022-06-30,78.25
Berlin,2022-07-31,71.2
Berlin,2022-08-31,72.5
Berlin,2022-09-30,69.0
Berlin,2022-10-31,72.6
Berlin,2022-11-30,63.5
Berlin,2022-12-31,65.25
Berlin,2023-01-31,67.8
Berlin,2023-02-28,76.0
Berlin,2023-03-31,70.0
Berlin,2023-04-30,70.8
Berlin,2023-05-31,65.75
Berlin,2023-06-30,67.75
Berlin,2023-07-31,78.4
Berlin,2023-08-31,71.0
Berlin,2023-09-30,77.25
Berlin,2023-10-31,75.6
Berlin,2023-11-30,69.0
Berlin,2023-12-31,76.4
Berlin,2024-01-31,77.75
Berlin,2024-02-29,71.5
Berlin,2024-03-31,69.4
Berlin,2024-04-30,73.75
Berlin,2024-05-31,71.0
Berlin,2024-06-30,74.0
Berlin,2024-07-31,72.25
Berlin,2024-08-31,68.75
Berlin,2024-09-30,71.2
Berlin,2024-10-31,70.5
Berlin,2024-11-30,64.5
Berlin,2024-12-31,64.6
Berlin,2025-01-31,66.5
Berlin,2025-02-28,64.75
Berlin,2025-03-31,67.0
Berlin,2025-04-30,67.5
Berlin,2025-05-31,66.5
Berlin,2025-06-30,70.8
Berlin,2025-07-31,72.75
Berlin,2025-08-31,84.4
Berlin,2025-09-30,85.5
Berlin,2025-10-31,77.0
Berlin,2025-11-30,79.6
Berlin,2025-12-31,68.5
Budapest,2021-04-30,22.0
Budapest,2021-05-31,25.6
Budapest,2021-06-30,34.0
Budapest,2021-07-31,32.75
Budapest,2021-08-31,34.4
Budapest,2021-09-30,32.25
Budapest,2021-10-31,34.8
Budapest,2021-11-30,32.25
Budapest,2021-12-31,29.25
Budapest,2022-01-31,33.2
Budapest,2022-02-28,39.0
Budapest,2022-03-31,37.25
Budapest,2022-04-30,38.75
Budapest,2022-05-31,39.2
Budapest,2022-06-30,41.75
Budapest,2022-07-31,43.6
Budapest,2022-08-31,44.75
Budapest,2022-09-30,41.0
Budapest,2022-10-31,38.4
Budapest,2022-11-30,36.0
Budapest,2022-12-31,37.5
Budapest,2023-01-31,39.6
Budapest,2023-02-28,37.25
Budapest,2023-03-31,38.75
Budapest,2023-04-30,41.8
Budapest,2023-05-31,44.0
Budapest,2023-06-30,41.0
Budapest,2023-07-31,48.8
Budapest,2023-08-31,65.25
Budapest,2023-09-30,41.75
Budapest,2023-10-31,42.8
Budapest,2023-11-30,41.5
Budapest,2023-12-31,41.8
Budapest,2024-01-31,40.0
Budapest,2024-02-29,41.0
Budapest,2024-03-31,41.6
Budapest,2024-04-30,42.25
Budapest,2024-05-31,41.75
Budapest,2024-06-30,44.0
Budapest,2024-07-31,45.75
Budapest,2024-08-31,47.0
Budapest,2024-09-30,46.4
Budapest,2024-10-31,42.5
Budapest,2024-11-30,42.5
Budapest,2024-12-31,45.0
Budapest,2025-01-31,40.75
Budapest,2025-02-28,39.75
Budapest,2025-03-31,40.2
Budapest,2025-04-30,40.25
Budapest,2025-05-31,40.0
Budapest,2025-06-30,42.4
